codigo_ibge,nome,latitude,longitude,UF,Munic,NMunic,Populacao
5200050,Abadia de Goiás,17.0,49.0,52.0,50.0,ABADIA DE GOIÁS,5868.0
3100104,Abadia dos Dourados,18.0,47.0,31.0,104.0,ABADIA DOS DOURADOS,6556.0
5200100,Abadiânia,16.0,49.0,52.0,100.0,ABADIÂNIA,12640.0
1500107,Abaetetuba,2.0,49.0,15.0,107.0,ABAETETUBA,132222.0
3100203,Abaeté,19.0,45.0,31.0,203.0,ABAETÉ,22474.0
2300101,Abaiara,7.0,39.0,23.0,101.0,ABAIARA,10227.0
2900207,Abaré,9.0,39.0,29.0,207.0,ABARÉ,17342.0
4100103,Abatiá,23.0,50.0,41.0,103.0,ABATIÁ,7791.0
2900108,Abaíra,13.0,42.0,29.0,108.0,ABAÍRA,8638.0
4200051,Abdon Batista,28.0,51.0,42.0,51.0,ABDON BATISTA,2726.0
1500131,Abel Figueiredo,5.0,48.0,15.0,131.0,ABEL FIGUEIREDO,6592.0
4200101,Abelardo Luz,27.0,52.0,42.0,101.0,ABELARDO LUZ,16374.0
3100302,Abre Campo,20.0,42.0,31.0,302.0,ABRE CAMPO,12867.0
2600054,Abreu e Lima,8.0,35.0,26.0,54.0,ABREU E LIMA,92217.0
1700251,Abreulândia,10.0,49.0,17.0,251.0,ABREULÂNDIA,2245.0
3100401,Acaiaca,20.0,43.0,31.0,401.0,ACAIACA,4056.0
2900306,Acajutiba,12.0,38.0,29.0,306.0,ACAJUTIBA,14628.0
2300150,Acarape,4.0,39.0,23.0,150.0,ACARAPE,14658.0
2300200,Acaraú,3.0,40.0,23.0,200.0,ACARAÚ,52123.0
2400109,Acari,6.0,37.0,24.0,109.0,ACARI,10911.0
1500206,Acará,2.0,48.0,15.0,206.0,ACARÁ,47923.0
2200053,Acauã,8.0,41.0,22.0,53.0,ACAUÃ,6300.0
4300034,Aceguá,32.0,54.0,43.0,34.0,ACEGUÁ,4138.0
2300309,Acopiara,6.0,39.0,23.0,309.0,ACOPIARA,48703.0
5100102,Acorizal,15.0,56.0,51.0,102.0,ACORIZAL,5530.0
1200013,Acrelândia,10.0,67.0,12.0,13.0,ACRELÂNDIA,11520.0
5200134,Acreúna,17.0,50.0,52.0,134.0,ACREÚNA,18553.0
3500105,Adamantina,22.0,51.0,35.0,105.0,ADAMANTINA,33289.0
5200159,Adelândia,16.0,50.0,52.0,159.0,ADELÂNDIA,2510.0
3500204,Adolfo,21.0,50.0,35.0,204.0,ADOLFO,3609.0
4100202,Adrianópolis,25.0,49.0,41.0,202.0,ADRIANÓPOLIS,6709.0
2900355,Adustina,11.0,38.0,29.0,355.0,ADUSTINA,14824.0
2600104,Afogados da Ingazeira,8.0,38.0,26.0,104.0,AFOGADOS DA INGAZEIRA,34047.0
2400307,Afonso Bezerra,5.0,37.0,24.0,307.0,AFONSO BEZERRA,10339.0
3200102,Afonso Cláudio,20.0,41.0,32.0,102.0,AFONSO CLÁUDIO,30773.0
2100105,Afonso Cunha,4.0,43.0,21.0,105.0,AFONSO CUNHA,5651.0
2600203,Afrânio,9.0,41.0,26.0,203.0,AFRÂNIO,16471.0
1500305,Afuá,0.0,50.0,15.0,305.0,AFUÁ,31183.0
2600302,Agrestina,8.0,36.0,26.0,302.0,AGRESTINA,21456.0
2200103,Agricolândia,6.0,43.0,22.0,103.0,AGRICOLÂNDIA,4980.0
4200200,Agrolândia,27.0,50.0,42.0,200.0,AGROLÂNDIA,9080.0
4200309,Agronômica,27.0,50.0,42.0,309.0,AGRONÔMICA,4677.0
3100807,Aguanil,21.0,45.0,31.0,807.0,AGUANIL,4054.0
3500303,Aguaí,22.0,47.0,35.0,303.0,AGUAÍ,30181.0
4300109,Agudo,30.0,53.0,43.0,109.0,AGUDO,16714.0
3500709,Agudos,22.0,49.0,35.0,709.0,AGUDOS,34221.0
4100301,Agudos do Sul,26.0,49.0,41.0,301.0,AGUDOS DO SUL,8192.0
2500205,Aguiar,7.0,38.0,25.0,205.0,AGUIAR,5629.0
1700301,Aguiarnópolis,7.0,47.0,17.0,301.0,AGUIARNÓPOLIS,3995.0
3101102,Aimorés,20.0,41.0,31.0,1102.0,AIMORÉS,24232.0
2900603,Aiquara,14.0,40.0,29.0,603.0,AIQUARA,5212.0
2300408,Aiuaba,7.0,40.0,23.0,408.0,AIUABA,15585.0
3101201,Aiuruoca,22.0,45.0,31.0,1201.0,AIURUOCA,6099.0
4300208,Ajuricaba,28.0,54.0,43.0,208.0,AJURICABA,7261.0
3101300,Alagoa,22.0,45.0,31.0,1300.0,ALAGOA,2825.0
2500304,Alagoa Grande,7.0,36.0,25.0,304.0,ALAGOA GRANDE,27448.0
2500403,Alagoa Nova,7.0,36.0,25.0,403.0,ALAGOA NOVA,19163.0
2500502,Alagoinha,7.0,36.0,25.0,502.0,ALAGOINHA,27041.0
2200251,Alagoinha do Piauí,7.0,41.0,22.0,251.0,ALAGOINHA DO PIAUÍ,7447.0
2900702,Alagoinhas,12.0,38.0,29.0,702.0,ALAGOINHAS,132725.0
3500758,Alambari,24.0,48.0,35.0,758.0,ALAMBARI,4070.0
3101409,Albertina,22.0,47.0,31.0,1409.0,ALBERTINA,2872.0
2500536,Alcantil,8.0,36.0,25.0,536.0,ALCANTIL,5068.0
5000252,Alcinópolis,18.0,54.0,50.0,252.0,ALCINÓPOLIS,4299.0
2900801,Alcobaça,18.0,39.0,29.0,801.0,ALCOBAÇA,19840.0
2100204,Alcântara,2.0,44.0,21.0,204.0,ALCÂNTARA,21349.0
2300507,Alcântaras,4.0,41.0,23.0,507.0,ALCÂNTARAS,10270.0
2100303,Aldeias Altas,5.0,43.0,21.0,303.0,ALDEIAS ALTAS,21645.0
4300307,Alecrim,28.0,55.0,43.0,307.0,ALECRIM,7357.0
3200201,Alegre,21.0,42.0,32.0,201.0,ALEGRE,30473.0
4300406,Alegrete,30.0,56.0,43.0,406.0,ALEGRETE,78188.0
2200277,Alegrete do Piauí,7.0,41.0,22.0,277.0,ALEGRETE DO PIAUÍ,4482.0
4300455,Alegria,28.0,54.0,43.0,455.0,ALEGRIA,4789.0
1500404,Alenquer,2.0,55.0,15.0,404.0,ALENQUER,52661.0
2400505,Alexandria,6.0,38.0,24.0,505.0,ALEXANDRIA,13729.0
5200308,Alexânia,16.0,49.0,52.0,308.0,ALEXÂNIA,20033.0
3101607,Alfenas,21.0,46.0,31.0,1607.0,ALFENAS,71628.0
3200300,Alfredo Chaves,21.0,41.0,32.0,300.0,ALFREDO CHAVES,13983.0
3500808,Alfredo Marcondes,22.0,51.0,35.0,808.0,ALFREDO MARCONDES,3851.0
3101631,Alfredo Vasconcelos,21.0,44.0,31.0,1631.0,ALFREDO VASCONCELOS,5900.0
4200705,Alfredo Wagner,28.0,49.0,42.0,705.0,ALFREDO WAGNER,9754.0
2500577,Algodão de Jandaíra,7.0,36.0,25.0,577.0,ALGODÃO DE JANDAÍRA,2342.0
2500601,Alhandra,7.0,35.0,25.0,601.0,ALHANDRA,18183.0
2600708,Aliança,8.0,35.0,26.0,708.0,ALIANÇA,34740.0
1700350,Aliança do Tocantins,11.0,49.0,17.0,350.0,ALIANÇA DO TOCANTINS,5701.0
2900900,Almadina,15.0,40.0,29.0,900.0,ALMADINA,6687.0
1700400,Almas,12.0,47.0,17.0,400.0,ALMAS,7488.0
1500503,Almeirim,2.0,53.0,15.0,503.0,ALMEIRIM,30903.0
3101706,Almenara,16.0,41.0,31.0,1706.0,ALMENARA,36907.0
2400604,Almino Afonso,6.0,38.0,24.0,604.0,ALMINO AFONSO,4948.0
4100400,Almirante Tamandaré,25.0,49.0,41.0,400.0,ALMIRANTE TAMANDARÉ,93055.0
4300471,Almirante Tamandaré do Sul,28.0,53.0,43.0,471.0,ALMIRANTE TAMANDARÉ DO SUL,2158.0
5200506,Aloândia,18.0,49.0,52.0,506.0,ALOÂNDIA,2065.0
3101805,Alpercata,19.0,42.0,31.0,1805.0,ALPERCATA,7007.0
4300505,Alpestre,27.0,53.0,43.0,505.0,ALPESTRE,8972.0
3101904,Alpinópolis,21.0,46.0,31.0,1904.0,ALPINÓPOLIS,17821.0
5100250,Alta Floresta,10.0,56.0,51.0,250.0,ALTA FLORESTA,49140.0
1100015,Alta Floresta D'Oeste,12.0,62.0,11.0,15.0,ALTA FLORESTA D'OESTE,23857.0
3500907,Altair,21.0,49.0,35.0,907.0,ALTAIR,3272.0
1500602,Altamira,3.0,52.0,15.0,602.0,ALTAMIRA,92105.0
2100402,Altamira do Maranhão,4.0,45.0,21.0,402.0,ALTAMIRA DO MARANHÃO,7365.0
4100459,Altamira do Paraná,25.0,53.0,41.0,459.0,ALTAMIRA DO PARANÁ,4369.0
2300606,Altaneira,7.0,40.0,23.0,606.0,ALTANEIRA,6417.0
3102001,Alterosa,21.0,46.0,31.0,2001.0,ALTEROSA,13286.0
2600807,Altinho,8.0,36.0,26.0,807.0,ALTINHO,21782.0
3501004,Altinópolis,21.0,47.0,35.0,1004.0,ALTINÓPOLIS,15139.0
3501103,Alto Alegre,22.0,50.0,35.0,1103.0,ALTO ALEGRE,20483.0
2100436,Alto Alegre do Maranhão,4.0,44.0,21.0,436.0,ALTO ALEGRE DO MARANHÃO,22002.0
2100477,Alto Alegre do Pindaré,4.0,46.0,21.0,477.0,ALTO ALEGRE DO PINDARÉ,31992.0
1100379,Alto Alegre dos Parecis,12.0,62.0,11.0,379.0,ALTO ALEGRE DOS PARECIS,11615.0
5100300,Alto Araguaia,17.0,53.0,51.0,300.0,ALTO ARAGUAIA,13790.0
4200754,Alto Bela Vista,27.0,52.0,42.0,754.0,ALTO BELA VISTA,2021.0
5100359,Alto Boa Vista,12.0,51.0,51.0,359.0,ALTO BOA VISTA,5025.0
3102050,Alto Caparaó,20.0,42.0,31.0,2050.0,ALTO CAPARAÓ,5048.0
4300570,Alto Feliz,29.0,51.0,43.0,570.0,ALTO FELIZ,2934.0
5100409,Alto Garças,17.0,54.0,51.0,409.0,ALTO GARÇAS,9132.0
5200555,Alto Horizonte,14.0,49.0,52.0,555.0,ALTO HORIZONTE,3136.0
3153509,Alto Jequitibá,20.0,42.0,31.0,53509.0,ALTO JEQUITIBÁ,7976.0
2200301,Alto Longá,5.0,42.0,22.0,301.0,ALTO LONGÁ,13612.0
5100508,Alto Paraguai,15.0,56.0,51.0,508.0,ALTO PARAGUAI,8144.0
4100608,Alto Paraná,23.0,52.0,41.0,608.0,ALTO PARANÁ,12936.0
4128625,Alto Paraíso,26.0,53.0,41.0,28625.0,ALTO PARAÍSO,20010.0
5200605,Alto Paraíso de Goiás,14.0,48.0,52.0,605.0,ALTO PARAÍSO DE GOIÁS,6638.0
2100501,Alto Parnaíba,9.0,46.0,21.0,501.0,ALTO PARNAÍBA,10304.0
4100707,Alto Piquiri,24.0,53.0,41.0,707.0,ALTO PIQUIRI,10210.0
3102100,Alto Rio Doce,21.0,43.0,31.0,2100.0,ALTO RIO DOCE,12657.0
3200359,Alto Rio Novo,19.0,41.0,32.0,359.0,ALTO RIO NOVO,6198.0
2300705,Alto Santo,6.0,38.0,23.0,705.0,ALTO SANTO,19154.0
5100607,Alto Taquari,18.0,53.0,51.0,607.0,ALTO TAQUARI,6058.0
2400703,Alto do Rodrigues,5.0,37.0,24.0,703.0,ALTO DO RODRIGUES,11443.0
2200400,Altos,5.0,42.0,22.0,400.0,ALTOS,38328.0
4100509,Altônia,24.0,54.0,41.0,509.0,ALTÔNIA,19904.0
3501152,Alumínio,24.0,47.0,35.0,1152.0,ALUMÍNIO,15678.0
3102209,Alvarenga,19.0,42.0,31.0,2209.0,ALVARENGA,4558.0
1300029,Alvarães,3.0,65.0,13.0,29.0,ALVARÃES,13010.0
3501509,Alvinlândia,22.0,50.0,35.0,1509.0,ALVINLÂNDIA,2787.0
3102308,Alvinópolis,20.0,43.0,31.0,2308.0,ALVINÓPOLIS,15251.0
1700707,Alvorada,12.0,49.0,17.0,707.0,ALVORADA,7976.0
1100346,Alvorada D'Oeste,11.0,62.0,11.0,346.0,ALVORADA D'OESTE,16485.0
3102407,Alvorada de Minas,19.0,43.0,31.0,2407.0,ALVORADA DE MINAS,3482.0
2200459,Alvorada do Gurguéia,8.0,44.0,22.0,459.0,ALVORADA DO GURGUÉIA,4976.0
5200803,Alvorada do Norte,14.0,46.0,52.0,803.0,ALVORADA DO NORTE,8217.0
4100806,Alvorada do Sul,23.0,51.0,41.0,806.0,ALVORADA DO SUL,9014.0
3101508,Além Paraíba,22.0,43.0,31.0,1508.0,ALÉM PARAÍBA,33495.0
1400027,Amajari,4.0,61.0,14.0,27.0,AMAJARI,7586.0
5000609,Amambai,23.0,55.0,50.0,609.0,AMAMBAI,33426.0
4100905,Amaporã,23.0,53.0,41.0,905.0,AMAPORÃ,5140.0
1600105,Amapá,2.0,51.0,16.0,105.0,AMAPÁ,7492.0
2100550,Amapá do Maranhão,2.0,46.0,21.0,550.0,AMAPÁ DO MARANHÃO,6168.0
2600906,Amaraji,8.0,35.0,26.0,906.0,AMARAJI,20149.0
4300638,Amaral Ferrador,31.0,52.0,43.0,638.0,AMARAL FERRADOR,6232.0
5200829,Amaralina,14.0,49.0,52.0,829.0,AMARALINA,3492.0
2200509,Amarante,6.0,43.0,22.0,509.0,AMARANTE,17316.0
2100600,Amarante do Maranhão,6.0,47.0,21.0,600.0,AMARANTE DO MARANHÃO,35727.0
2901007,Amargosa,13.0,40.0,29.0,1007.0,AMARGOSA,33554.0
1300060,Amaturá,3.0,68.0,13.0,60.0,AMATURÁ,8384.0
3501608,Americana,23.0,47.0,35.0,1608.0,AMERICANA,
5200852,Americano do Brasil,16.0,50.0,52.0,852.0,AMERICANO DO BRASIL,4698.0
4300646,Ametista do Sul,27.0,53.0,43.0,646.0,AMETISTA DO SUL,8058.0
2300754,Amontada,3.0,40.0,23.0,754.0,AMONTADA,37513.0
5200902,Amorinópolis,17.0,51.0,52.0,902.0,AMORINÓPOLIS,3527.0
2500734,Amparo,8.0,37.0,25.0,734.0,AMPARO,64699.0
2800100,Amparo de São Francisco,10.0,37.0,28.0,100.0,AMPARO DE SÃO FRANCISCO,2197.0
3102506,Amparo do Serra,21.0,43.0,31.0,2506.0,AMPARO DO SERRA,5245.0
4101002,Ampére,26.0,53.0,41.0,1002.0,AMPÉRE,17067.0
2901106,Amélia Rodrigues,12.0,39.0,29.0,1106.0,AMÉLIA RODRIGUES,22096.0
2901155,América Dourada,11.0,41.0,29.0,1155.0,AMÉRICA DOURADA,16189.0
3501707,Américo Brasiliense,22.0,48.0,35.0,1707.0,AMÉRICO BRASILIENSE,31005.0
3501806,Américo de Campos,20.0,50.0,35.0,1806.0,AMÉRICO DE CAMPOS,5379.0
2700201,Anadia,10.0,36.0,27.0,201.0,ANADIA,17274.0
2901205,Anagé,15.0,41.0,29.0,1205.0,ANAGÉ,25716.0
4101051,Anahy,25.0,53.0,41.0,1051.0,ANAHY,2868.0
2100709,Anajatuba,3.0,45.0,21.0,709.0,ANAJATUBA,23941.0
1500701,Anajás,1.0,50.0,15.0,701.0,ANAJÁS,24942.0
3502002,Analândia,22.0,48.0,35.0,2002.0,ANALÂNDIA,4166.0
1300086,Anamã,4.0,61.0,13.0,86.0,ANAMÃ,8152.0
1500800,Ananindeua,1.0,48.0,15.0,800.0,ANANINDEUA,
1701002,Ananás,6.0,48.0,17.0,1002.0,ANANÁS,9358.0
1500859,Anapu,3.0,51.0,15.0,859.0,ANAPU,17787.0
2100808,Anapurus,4.0,43.0,21.0,808.0,ANAPURUS,12580.0
5000708,Anastácio,20.0,56.0,50.0,708.0,ANASTÁCIO,22364.0
5000807,Anaurilândia,22.0,53.0,50.0,807.0,ANAURILÂNDIA,8380.0
4200804,Anchieta,27.0,53.0,42.0,804.0,ANCHIETA,26046.0
2901304,Andaraí,13.0,41.0,29.0,1304.0,ANDARAÍ,14088.0
4101101,Andirá,23.0,50.0,41.0,1101.0,ANDIRÁ,21330.0
2901353,Andorinha,10.0,40.0,29.0,1353.0,ANDORINHA,14132.0
3102605,Andradas,22.0,47.0,31.0,2605.0,ANDRADAS,34956.0
3502101,Andradina,21.0,51.0,35.0,2101.0,ANDRADINA,54747.0
3102803,Andrelândia,22.0,44.0,31.0,2803.0,ANDRELÂNDIA,12035.0
4300661,André da Rocha,29.0,52.0,43.0,661.0,ANDRÉ DA ROCHA,1206.0
3502200,Angatuba,23.0,48.0,35.0,2200.0,ANGATUBA,21523.0
2601003,Angelim,9.0,36.0,26.0,1003.0,ANGELIM,9836.0
4200903,Angelina,28.0,49.0,42.0,903.0,ANGELINA,5322.0
3102852,Angelândia,18.0,42.0,31.0,2852.0,ANGELÂNDIA,8130.0
2901403,Angical,12.0,45.0,29.0,1403.0,ANGICAL,14700.0
2200608,Angical do Piauí,6.0,43.0,22.0,608.0,ANGICAL DO PIAUÍ,6609.0
1701051,Angico,6.0,48.0,17.0,1051.0,ANGICO,3169.0
2400802,Angicos,6.0,37.0,24.0,802.0,ANGICOS,11227.0
3300100,Angra dos Reis,23.0,44.0,33.0,100.0,ANGRA DOS REIS,148476.0
2901502,Anguera,12.0,39.0,29.0,1502.0,ANGUERA,9523.0
5000856,Angélica,22.0,54.0,50.0,856.0,ANGÉLICA,7253.0
5201207,Anhanguera,18.0,48.0,52.0,1207.0,ANHANGUERA,966.0
3502309,Anhembi,23.0,48.0,35.0,2309.0,ANHEMBI,5271.0
3502408,Anhumas,22.0,51.0,35.0,2408.0,ANHUMAS,3695.0
5201306,Anicuns,16.0,50.0,52.0,1306.0,ANICUNS,17705.0
4201000,Anita Garibaldi,28.0,51.0,42.0,1000.0,ANITA GARIBALDI,9141.0
4201109,Anitápolis,28.0,49.0,42.0,1109.0,ANITÁPOLIS,3175.0
1300102,Anori,4.0,62.0,13.0,102.0,ANORI,13834.0
4300703,Anta Gorda,29.0,52.0,43.0,703.0,ANTA GORDA,6163.0
2901601,Antas,10.0,38.0,29.0,1601.0,ANTAS,16446.0
4101200,Antonina,25.0,49.0,41.0,1200.0,ANTONINA,17581.0
2300804,Antonina do Norte,7.0,40.0,23.0,804.0,ANTONINA DO NORTE,6761.0
2200806,Antônio Almeida,7.0,44.0,22.0,806.0,ANTÔNIO ALMEIDA,3140.0
2901700,Antônio Cardoso,12.0,39.0,29.0,1700.0,ANTÔNIO CARDOSO,12074.0
4201208,Antônio Carlos,28.0,49.0,42.0,1208.0,ANTÔNIO CARLOS,18259.0
3103009,Antônio Dias,20.0,43.0,31.0,3009.0,ANTÔNIO DIAS,9435.0
2901809,Antônio Gonçalves,11.0,40.0,29.0,1809.0,ANTÔNIO GONÇALVES,10653.0
5000906,Antônio João,22.0,56.0,50.0,906.0,ANTÔNIO JOÃO,8350.0
2400901,Antônio Martins,6.0,38.0,24.0,901.0,ANTÔNIO MARTINS,6997.0
4101309,Antônio Olinto,26.0,50.0,41.0,1309.0,ANTÔNIO OLINTO,7477.0
4300802,Antônio Prado,29.0,51.0,43.0,802.0,ANTÔNIO PRADO,13591.0
3103108,Antônio Prado de Minas,21.0,42.0,31.0,3108.0,ANTÔNIO PRADO DE MINAS,1962.0
5201108,Anápolis,16.0,49.0,52.0,1108.0,ANÁPOLIS,
2200707,Anísio de Abreu,9.0,43.0,22.0,707.0,ANÍSIO DE ABREU,8197.0
2500775,Aparecida,7.0,38.0,25.0,775.0,APARECIDA,43226.0
3502606,Aparecida d'Oeste,20.0,51.0,35.0,2606.0,APARECIDA D'OESTE,4577.0
5201405,Aparecida de Goiânia,17.0,49.0,52.0,1405.0,APARECIDA DE GOIÂNIA,
5201454,Aparecida do Rio Doce,18.0,51.0,52.0,1454.0,APARECIDA DO RIO DOCE,2702.0
1701101,Aparecida do Rio Negro,10.0,48.0,17.0,1101.0,APARECIDA DO RIO NEGRO,4018.0
5001003,Aparecida do Taboado,20.0,51.0,50.0,1003.0,APARECIDA DO TABOADO,19819.0
3300159,Aperibé,22.0,42.0,33.0,159.0,APERIBÉ,8820.0
3200508,Apiacá,21.0,42.0,32.0,508.0,APIACÁ,7617.0
5100805,Apiacás,10.0,57.0,51.0,805.0,APIACÁS,7926.0
3502705,Apiaí,25.0,49.0,35.0,2705.0,APIAÍ,25463.0
2100832,Apicum-Açu,1.0,45.0,21.0,832.0,APICUM-AÇU,13216.0
4201257,Apiúna,27.0,49.0,42.0,1257.0,APIÚNA,10270.0
2401008,Apodi,6.0,38.0,24.0,1008.0,APODI,34632.0
2901908,Aporá,12.0,38.0,29.0,1908.0,APORÁ,17870.0
5201504,Aporé,19.0,52.0,52.0,1504.0,APORÉ,3554.0
2901957,Apuarema,14.0,40.0,29.0,1957.0,APUAREMA,7379.0
4101408,Apucarana,24.0,51.0,41.0,1408.0,APUCARANA,115323.0
